organization:acme-retail|admin|user:prelude
organization:acme-retail|member|user:fred
organization:acme-retail|member|user:sally
organization:acme-retail|member|user:alex
department:finance|organization|organization:acme-retail
department:finance|member|user:fred
department:sales|organization|organization:acme-retail
department:sales|member|user:sally
department:ops|organization|organization:acme-retail
department:ops|member|user:alex
catalog:finance|organization|organization:acme-retail
catalog:finance|department|department:finance
catalog:finance|reader|department:finance#member
catalog:sales|organization|organization:acme-retail
catalog:sales|department|department:sales
catalog:sales|reader|department:sales#member
catalog:ops|organization|organization:acme-retail
catalog:ops|department|department:ops
catalog:ops|reader|department:ops#member
dataset:revenue|catalog|catalog:finance
dataset:expenses|catalog|catalog:finance
dataset:margins|catalog|catalog:finance
dataset:forecasts|catalog|catalog:finance
dataset:orders|catalog|catalog:sales
dataset:pipeline|catalog|catalog:sales
dataset:customers|catalog|catalog:sales
dataset:acquisition_costs|catalog|catalog:sales
dataset:inventory|catalog|catalog:ops
dataset:shipments|catalog|catalog:ops
dataset:warehouses|catalog|catalog:ops
dataset:returns|catalog|catalog:ops
